Year,st,State,Share of Total Wealth Earned by Richest 10%,Share of Total Wealth Earned by Richest 5%,Share of Total Wealth Earned by Richest 1%,Share of Total Wealth Earned by Richest 0.5%,Share of Total Wealth Earned by Richest 0.1%,Share of Total Wealth Earned by Richest 0.01%,Average Income,Total Income,Adjusted Gross Income,Consumer Price Index 2014
1917,0,United States,40.50765745,30.64153929,17.7371481,14.34259003,8.401536971,3.365203017,1044.724231,42193265.25,13652383.21,16.9433874
1918,0,United States,40.10704545,29.4933927,15.96147266,12.42951801,6.716482246,2.454227078,1159.728783,46912265.56,15924639.36,14.42629881
1919,0,United States,40.31563788,30.16769917,16.41077833,12.63829306,6.629717376,2.28652971,1321.186671,54237824.29,19859491.45,12.56034896
1920,0,United States,39.01411364,28.32401964,14.82981937,11.14299479,5.357224888,1.662898156,1364.856885,57199787.19,23735629.18,10.84376794
1921,0,United States,43.18105666,30.80412423,15.63791588,11.69809971,5.601952704,1.688397429,1064.909958,45615625.6,19577212.53,12.1385462
1922,0,United States,43.72147766,31.94498479,17.05762842,13.05780349,6.635449184,2.27416074,1139.103339,49599872.93,21336212.53,12.96067881
1923,0,United States,41.46125058,29.77685499,15.64249309,11.90786314,5.906410568,1.997966723,1290.632391,57315111.37,24840137.36,12.73240854
1924,0,United States,44.40704275,32.11207578,17.42308027,13.40065275,6.787022228,2.324950204,1287.084684,58413664.34,25656153.45,12.70754055
1925,0,United States,46.35407692,35.00952318,20.24450485,15.86065113,8.523904173,3.310848483,1370.251279,63292017.53,21894576.4,12.39287764
1926,0,United States,45.71043577,34.61378599,19.90905139,15.54775263,8.459004755,3.364017631,1382.499853,64894565.86,21958505.65,12.2759637
1927,0,United States,46.66845611,35.69102834,21.02503388,16.59692253,9.253941801,3.754214017,1379.08371,65813859.37,22545090.55,12.51203993
1928,0,United States,49.2887116,38.56368292,23.94024951,19.39901174,11.54089958,5.024515311,1432.217707,69383714.51,25226326.91,12.68276952
1929,0,United States,46.7095879,36.4830313,22.35288358,18.06649882,10.91368498,4.990263606,1476.812904,72489048.82,23775605.19,12.68276952
1930,0,United States,43.86545498,32.06307862,17.22327314,13.20420806,7.074256008,2.844552269,1242.490593,61813907.02,16579182.55,13.01252152
1931,0,United States,44.54320001,31.23086702,15.49845876,11.56577861,5.893396823,2.249901388,1012.912381,51113245.98,13603059.25,14.26811571
1932,0,United States,46.37021178,32.66812331,15.55593005,11.62300661,5.969509093,1.989468476,758.5998383,38777613.79,11654275.76,15.90772802
1933,0,United States,45.60181443,33.18673042,16.46008735,12.46465948,6.608866887,2.34426193,710.4277527,36769636.52,11007496.42,16.7687133
1934,0,United States,45.78354197,33.7134768,16.39698907,12.29505718,6.129114649,2.073243352,801.6441223,42030151.75,12796389.22,16.22508918
1935,0,United States,44.49398271,32.28476884,16.67628516,12.63413383,6.392287606,2.187947927,898.6648849,47761430.61,14909430.67,15.83031816
1936,0,United States,46.59377509,34.6387187,19.28824418,14.85826503,7.565232554,2.536917821,1011.87246,54483577.52,19239823.01,15.67773678
1937,0,United States,44.23141176,32.26870475,17.1493416,13.02364849,6.494461166,2.174382143,1073.440279,58544471.61,21238265.65,15.13083898
1938,0,United States,44.07483757,31.34471545,15.75492318,11.7758783,5.883863075,2.194512158,973.4120204,53870774.52,18306773.39,15.41767953
1939,0,United States,45.51788564,32.27871325,16.17545742,12.05776443,5.871631612,1.963441145,1019.427933,57272849.49,22654591.59,15.64004991
1940,0,United States,45.29313243,32.22224124,16.47807373,12.33331904,6.005176619,2.04361374,1076.387538,61477874.21,35998334.03,15.49109705
1941,0,United States,41.93033956,29.99193294,15.78556702,11.86189059,5.806500985,1.977178314,1321.316752,75833651.1,58235194.5,14.75342576
1942,0,United States,36.12786267,25.80295476,13.42866832,10.06676677,4.811592976,1.545771435,1690.640036,97611172.35,78391130.6,13.33250156
1943,0,United States,33.68990211,24.08259845,12.30947427,9.147828056,4.262872922,1.235124813,2088.306908,121642866.8,99209861,12.56034896
1944,0,United States,32.51253099,22.76510219,11.28093434,8.257493933,3.75560858,1.164237084,2099.804444,123166557.2,116714736,12.34584585
1945,0,United States,34.42331044,24.79458273,12.51579109,9.138062881,4.159181105,1.263391467,2142.561216,126405446.6,120301131,12.07098472
1946,0,United States,36.69955123,26.7653864,13.27705253,9.612431985,4.391740339,1.472837423,2367.141778,140365222.6,134330006,11.12181327
1947,0,United States,34.34788064,24.6782759,11.9550552,8.613660927,3.918210576,1.303516209,2571.252713,154579747.2,150295275,9.725352409
1948,0,United States,35.01350833,25.05521839,12.24260002,8.90030587,4.055142815,1.305499233,2813.654123,171141822.1,164173861,9.02394003
1949,0,United States,34.75099624,24.50541025,11.72696008,8.476161782,3.831369556,1.24250014,2732.460768,168146514.2,161373205,9.112410031
1950,0,United States,35.56336696,25.53344318,12.81953504,9.369931199,4.390447002,1.219786157,3015.619193,188313356.1,179874478,9.02394003
1951,0,United States,34.21755149,24.20097042,11.78710514,8.529064159,3.89040595,1.281069761,3343.0445,210812019.2,203097033,8.362803036
1952,0,United States,33.21150903,23.06904312,10.79087599,7.736370062,3.428168641,1.088469279,3503.996165,223148947.8,216087449,8.183975801
1953,0,United States,32.30695106,22.01304887,9.901885035,7.022241673,3.055154923,0.96675603,3669.1648,235828782.1,229863409,8.122672612
1954,0,United States,33.63611059,23.2976818,10.7735618,7.712841946,3.490931101,1.168748434,3682.348094,239088342.2,230235855,8.082311505
1955,0,United States,33.93779843,23.59609181,11.05754552,7.962412221,3.714968747,1.316538725,3955.304753,259426263.3,248530317,8.112544591
1956,0,United States,33.46213977,23.12690363,10.67208171,7.704072991,3.486309477,1.197606099,4204.224448,278560191.8,267724268,7.992949339
1957,0,United States,32.9885897,22.60448321,10.16096951,7.228950353,3.183312234,1.052867315,4337.722129,290399413.7,280320566,7.717984296
1958,0,United States,33.56153551,22.92667813,10.20574545,7.268264655,3.218449357,1.081463755,4343.922567,293414656.2,281154092,7.513003189
1959,0,United States,34.00362603,23.38980587,10.64744461,7.715741785,3.44980974,1.194124938,4683.87891,319177530,305094979,7.461367429
1960,0,United States,33.47509602,22.57431227,10.03457996,7.129255273,3.249045588,1.17492397,4783.668485,328547135.2,315466382,7.335330817
1961,0,United States,34.25477281,23.5013668,10.64065615,7.65634119,3.651281808,1.382292922,4948.625348,346390301.9,329861284,7.26173218
1962,0,United States,33.70090508,22.8058861,9.949906248,7.055675573,3.194277824,1.16074018,5113.088848,364330527.4,348701466,7.189595767
1963,0,United States,33.78481288,22.84387927,9.916510296,6.997779219,3.145902281,1.146299844,5322.755316,385710648.4,368778072,7.095614123
1964,0,United States,34.4231592,23.50124081,10.47910353,7.385258521,3.372471376,1.302166105,5680.961267,418457460.7,396659831,7.004057812
1965,0,United States,34.78102413,23.87638776,10.89191275,7.725039729,3.655143666,1.489351462,6054.325579,452695627.2,429201239,6.892882291
1966,0,United States,33.6720187,22.92003553,10.17525681,7.218910057,3.385286985,1.289879087,6473.418839,490886916.2,468450579,6.701413339
1967,0,United States,34.44456453,23.70219886,10.73754191,7.674820228,3.677005501,1.416347806,6914.316938,531405170.2,504719476,6.500772221
1968,0,United States,34.84716973,24.15088445,11.21283857,8.139010156,4.022860584,1.614928554,7520.238492,585267715.9,554336953,6.239246901
1969,0,United States,33.92931832,23.08400385,10.35149728,7.445799259,3.693696281,1.55817026,7923.036654,624278880.8,603601615,5.916234119
1970,0,United States,32.62718792,21.66277663,9.025286494,6.25103545,2.77534472,0.996275134,8251.581,659499359.8,631625918,5.596025571
1971,0,United States,33.33695721,22.25759675,9.399056117,6.563718068,2.987735567,1.113711799,8673.326013,709905516.3,673677080,5.361130671
1972,0,United States,33.58593695,22.5184949,9.637708345,6.780077951,3.125833783,1.178157409,9388.08469,785496627.2,746006325,5.194396942
1973,0,United States,33.33270311,22.21362321,9.162462345,6.303849806,2.760085623,0.941395735,10128.74452,865418519.1,827148338,4.890220544
1974,0,United States,33.30872128,22.11784522,9.122429217,6.306857675,2.728232938,0.878854229,10798.17982,941900731.3,896182659,4.404174283
1975,0,United States,33.43291544,21.98127553,8.872672603,6.067900878,2.564512544,0.846581427,11155.61136,994271374.4,947784873,4.035795393
1976,0,United States,33.41361332,21.97455655,8.860885139,6.068898183,2.594744522,0.859939348,12147.8567,1106043590,1053895687,3.815919019
1977,0,United States,33.58335445,22.12440071,9.025117885,6.217061285,2.707932313,0.92362942,13078.34717,1217277902,1158492225,3.582933864
1978,0,United States,33.48607457,22.03597455,8.950521312,6.161281492,2.647967003,0.856376443,14339.3482,1365290011,1302447386,3.330150187
1979,0,United States,34.21228115,22.93133303,9.957698471,7.108553172,3.43926457,1.372856619,15888.17973,1548415056,1465394530,3.039053142
1980,0,United States,34.63310985,23.16776209,10.02102409,7.149042706,3.409516479,1.276478156,17124.39366,1706017718,1613731497,2.735386935
1981,0,United States,34.54346072,23.03632368,10.01702481,7.233345,3.566192688,1.36586547,18545.6325,1881124442,1772604303,2.49761264
1982,0,United States,35.33216587,23.83085985,10.79579698,7.965037164,4.175769444,1.733792875,19318.06171,1994598330,1782275816,2.355472083
1983,0,United States,36.38188213,24.85160161,11.5552281,8.630539103,4.62087213,1.884166709,20252.05423,2127821987,,2.259049249
1984,0,United States,36.73553717,25.28650722,11.98934696,9.039165276,4.981103309,2.153538157,21818.0798,2331723268,,2.170210234
1985,0,United States,37.56086101,26.11702832,12.66896228,9.625153699,5.318028909,2.236182016,23191.1731,2521716879,,2.098175495
1986,0,United States,40.62891035,29.4875389,15.91705788,12.62203523,7.397896151,3.344468396,25300.77463,2800382093,2472559802,2.060863542
1987,0,United States,38.24577828,26.5388962,12.66215208,9.448408307,4.899027409,1.907799225,24920.00834,2806993414,2772619840,1.993507337
1988,0,United States,40.62873935,29.28938888,15.49333892,12.09146003,6.79903059,2.862569838,27139.09209,3111659975,3064260316,1.922940705
1989,0,United States,40.0844197,28.54779542,14.48644396,11.07892676,5.999407497,2.454695239,28066.93013,3277076756,3250669292,1.843412935
1990,0,United States,39.97565282,28.40612384,14.32964126,10.9442717,5.824513904,2.333525508,28920.71498,3443155722,3398138737,1.755897371
1991,0,United States,39.54550039,27.72291098,13.36069026,9.985648246,5.122821494,1.957028823,28957.64207,3488042436,3453028487,1.695113016
1992,0,United States,40.82263496,29.06465062,14.67084358,11.19905767,6.031504725,2.463082372,30024.94263,3661363150,3623404564,1.653198666
1993,0,United States,40.68488931,28.83291311,14.23690293,10.77671171,5.730691489,2.318026058,30494.5234,3762368402,3720610776,1.613307097
1994,0,United States,40.78196969,28.89256322,14.2319294,10.73423558,5.703995839,2.294742587,31627.27913,3944421592,3898339504,1.579589639
1995,0,United States,42.114,30.224,15.234,11.57,6.206,2.463,33471.92624,4218232560,4182770178,1.542447558
1996,0,United States,43.484,31.757,16.687,12.907,7.24,3.058,35719.94386,4558766881,4520288987,1.502453239
1997,0,United States,44.644,33.141,18.015,14.159,8.185,3.526,38602.55394,4991358755,4950214359,1.470675463
1998,0,United States,45.391,34.095,19.088,15.179,8.996,3.923,41523.1841,5437253343,5381508195,1.450428367
1999,0,United States,46.469,35.217,20.044,16.036,9.622,4.214,44396.33784,5872170417,5813855173,1.420791498
2000,0,United States,47.607,36.606,21.521,17.455,10.877,5.073,47050.20423,6326982114,6307009049,1.37472392
2001,0,United States,44.823,33.354,18.22,14.324,8.369,3.7,45017.99233,6171426533,6144619443,1.337183383
2002,0,United States,43.82,32.069,16.865,13.038,7.341,3.142,43388.63889,6061523019,6015047033,1.315926115
2003,0,United States,44.527,32.765,17.528,13.671,7.867,3.492,44101.57835,6255500178,6199925184,1.287181338
2004,0,United States,46.399,34.95,19.753,15.742,9.465,4.342,47610.05192,6854990495,6745101602,1.253308145
2005,0,United States,48.334,37.159,21.916,17.771,10.984,5.128,51365.61992,7493268000,7364640131,1.212653225
2006,0,United States,49.32,38.083,22.823,18.615,11.588,5.46,54444.86974,8077495320,7945456251,1.174156297
2007,0,United States,49.74,38.668,23.503,19.314,12.275,6.036,58056.17209,8701168792,8564745048,1.141765778
2008,0,United States,48.228,36.52,20.946,16.867,10.4,5.034,54315.08179,8280986000,8178369208,1.099548079
2009,0,United States,46.502,34.113,18.119,14.152,8.295,3.894,49600.99777,7615886000,7801040718,1.103473993
2010,0,United States,48.043,35.852,19.863,15.829,9.658,4.779,51466.8656,8037426000,8095747954,1.085666067
2011,0,United States,48.128,35.885,19.647,15.547,9.266,4.322,52690.82574,8344488000,8378794024,1.05244533
2012,0,United States,50.602,38.819,22.828,18.589,11.712,5.811,56759.62844,9120193857,9085078279,1.031107085
1917,1,Alabama,35.57640407,26.89889092,14.68419496,10.93675453,5.477203331,1.857475386,435.3432483,374381.3855,73508.562,16.9433874
1918,1,Alabama,32.34152199,25.16393351,11.81730013,8.291248181,3.785859606,1.033197122,682.5453799,583581.7308,121250.953,14.42629881
1919,1,Alabama,33.77654966,27.01434391,13.53683185,9.782804327,4.563503677,1.205356986,687.2073978,591880.2024,133470.965,12.56034896
1920,1,Alabama,35.42598154,27.69902927,12.42756514,8.958790223,4.10831961,1.122145148,708.180996,618009.7232,156604.933,10.84376794
1921,1,Alabama,39.39069716,30.51919566,13.72224759,9.679676739,4.443658973,1.387278356,515.7629645,457798.2617,117108.806,12.1385462
1922,1,Alabama,38.665075,30.51273081,14.53274241,10.30698675,4.757191524,1.275259324,552.9008923,496382.0003,126908.473,12.96067881
1923,1,Alabama,36.61036771,29.36655112,13.78623535,10.05750438,4.839905984,1.502889981,677.0455073,616753.2618,159064.39,12.73240854
1924,1,Alabama,37.67516398,30.33851433,14.88099865,10.84494718,5.16999339,1.510232489,666.9905273,617698.3905,159918.982,12.70754055
1925,1,Alabama,34.28627641,27.26881372,16.21168262,11.86354829,5.461022052,1.464191448,686.8702588,643933.723,130024.575,12.39287764
1926,1,Alabama,33.19915973,26.22181995,15.55355944,11.43663543,5.279234143,1.504058289,734.0155511,695471.4769,136523.003,12.2759637
1927,1,Alabama,33.7399077,26.57939026,15.95385331,11.78021647,5.471257689,1.568651685,705.0866636,675393.6684,133224.614,12.51203993
1928,1,Alabama,34.76369898,27.92027129,17.9915637,13.91377345,7.734158057,3.761618803,708.8072732,685273.8849,142167.22,12.68276952
1929,1,Alabama,29.81973352,23.55263231,14.58480926,10.81496482,5.270581749,1.894249622,734.1722177,714947.1138,118686.637,12.68276952
1930,1,Alabama,33.32580802,24.68661348,14.80391952,10.58429574,5.013924741,1.627410625,571.9832663,561161.3069,86100.076,13.01252152
1931,1,Alabama,36.64371744,25.44788325,14.9008956,10.41773223,4.627094556,1.357898593,450.9708648,447800.275,70302.289,14.26811571
1932,1,Alabama,41.62259548,28.77844502,15.2043336,10.24360599,4.35728992,1.284689977,320.4120141,321588.7425,54012.348,15.90772802
1933,1,Alabama,38.12763173,27.22910238,14.87347548,10.1305857,4.473851466,1.53374126,332.7699711,337421.7303,53669.641,16.7687133
1934,1,Alabama,35.64277621,26.38677642,14.11433228,9.773605521,4.194420033,1.173301301,420.348155,430794.4274,69227.317,16.22508918
1935,1,Alabama,36.16315319,26.56468268,14.45756753,10.12076553,4.436014527,1.194687989,445.7377045,462007.2777,80441.83,15.83031816
1936,1,Alabama,36.90363642,28.2636724,16.01649757,11.72421604,5.465776902,1.428186052,510.2675865,534591.636,106645.924,15.67773678
1937,1,Alabama,38.45002341,29.80379343,15.89451712,11.52770045,5.349634411,1.453902282,541.6339648,573427.8029,130125.686,15.13083898
1938,1,Alabama,39.81186236,29.95433424,15.53540663,11.01045811,4.937410511,1.403285551,490.2337467,525401.2204,112928.642,15.41767953
1939,1,Alabama,43.2743731,34.11054147,16.80805134,11.81813019,5.297415173,1.438358672,507.7275733,551070.0263,146912.828,15.64004991
1940,1,Alabama,49.42205431,37.53521277,17.0459283,12.56031243,5.885636631,1.684845392,564.4760714,621323.4609,244349.074,15.49109705
1941,1,Alabama,42.67576977,33.09374269,16.5299217,12.41890225,5.986076238,1.744729586,778.5717966,857109.9371,468697.877,14.75342576
1942,1,Alabama,37.27510364,27.38854482,13.65891826,10.38931212,5.041455736,1.425760651,1103.586786,1216353.486,803551.636,13.33250156
1943,1,Alabama,34.74766631,24.65042897,12.12387445,9.184934329,4.372171279,1.134853801,1394.425717,1543034.236,1025051,12.56034896
1944,1,Alabama,39.53252687,26.99728524,12.88330336,9.515630371,4.399817823,1.306570632,1424.388416,1579332.327,1185411,12.34584585
1945,1,Alabama,33.39985149,23.00662183,11.44493494,8.422751615,3.687879549,0.867481718,1486.23889,1649132.238,1210859,12.07098472
1946,1,Alabama,39.30738084,27.90158762,13.85214161,10.150598,4.473144428,1.230863654,1514.076505,1679886.589,1322550,11.12181327
1947,1,Alabama,37.38202614,26.03857127,12.52844848,9.134997403,3.989677217,1.083640788,1662.30999,1860108.385,1523984,9.725352409
1948,1,Alabama,37.0784381,25.80265457,12.09098071,8.689302747,3.716632532,1.009374692,1836.571214,2068195.439,1679746,9.02394003
1949,1,Alabama,38.32922347,26.36363107,11.84694647,8.500406312,3.611567034,1.060153133,1729.112817,1959266.594,1634742,9.112410031
1950,1,Alabama,38.6028424,27.10445865,12.94010695,9.392561968,4.097861746,0.965471425,1934.504617,2212106.527,1836199,9.02394003
1951,1,Alabama,37.05731215,25.06480668,11.43293558,8.255917331,3.592487788,1.047677005,2234.255116,2557379.52,2247438,8.362803036
1952,1,Alabama,37.07611223,22.7016442,10.52588769,7.469006943,3.057136858,0.826670592,2365.517673,2710141.287,2287810,8.183975801
1953,1,Alabama,35.8268812,22.17667483,9.908323856,6.948713786,2.903137502,0.795899701,2467.371583,2827292.647,2451310,8.122672612
1954,1,Alabama,38.16237262,24.33910446,10.93605823,7.737520704,3.345783023,1.003259406,2385.321586,2735930.465,2445188,8.082311505
1955,1,Alabama,36.91785581,23.94647937,11.23112976,8.168512061,3.96986502,1.569281334,2739.553392,3144858.503,2679330,8.112544591
1956,1,Alabama,36.2092505,23.64041615,10.59350454,7.712140478,3.425922074,1.121102813,2930.368468,3366273.369,2964588,7.992949339
1957,1,Alabama,35.18654525,23.15592955,9.665203065,6.724445934,2.748137649,0.718206924,3061.610901,3519876.566,3216964,7.717984296
1958,1,Alabama,35.78689275,23.80364124,10.11206195,7.198070366,2.988405747,0.857492358,3159.645947,3629716.957,3291834,7.513003189
1959,1,Alabama,36.14461544,24.44521585,10.48251705,7.451397199,3.038071676,0.718624152,3391.264412,3891837.872,3500858,7.461367429
1960,1,Alabama,35.52420142,23.60524588,9.839443448,6.896053249,2.802369075,0.806427793,3492.715843,3999794.246,3617501,7.335330817
1961,1,Alabama,35.26610262,23.13663309,9.266238357,6.380046204,2.636979641,0.773252852,3579.297152,4169112.318,3743183,7.26173218
1962,1,Alabama,36.10609676,23.66273436,9.493028162,6.60974661,2.727918495,0.757718451,3639.746163,4306748.035,3967236,7.189595767
1963,1,Alabama,36.34539984,23.97591147,9.970976579,7.020685174,2.853481075,0.857289025,3855.660296,4629838.51,4242477,7.095614123
1964,1,Alabama,36.52379763,24.14154215,10.10557301,6.828527316,2.750550034,0.731497357,4189.127014,5102052.708,4668920,7.004057812
1965,1,Alabama,36.7147655,24.20413609,10.35663424,7.303869528,3.010705376,1.44710605,4513.251909,5567317.214,5100114,6.892882291
1966,1,Alabama,36.7311365,24.08646319,10.21668445,7.219387092,3.205649689,1.205816461,4776.305662,5961471.01,5611560,6.701413339
1967,1,Alabama,35.99321529,23.88036314,9.985168496,7.23698447,3.109538644,1.051313783,5041.332682,6362191.052,5891052,6.500772221
1968,1,Alabama,36.13526788,24.24683682,10.31902278,7.333819153,3.180058659,1.022608274,5467.634421,6970307.381,6458962,6.239246901
1969,1,Alabama,35.22978516,23.33352398,9.645846416,6.762602206,2.911427009,0.921525459,5815.905517,7487755.323,7244608,5.916234119
1970,1,Alabama,35.05268533,22.77240519,9.039542019,6.369753343,2.516595944,0.765249286,6096.606361,7941516.984,7462256,5.596025571
1971,1,Alabama,36.16076991,23.70464596,9.666275147,6.639144822,2.678298495,0.730141735,6523.132269,8708421.462,8415525,5.361130671
1972,1,Alabama,35.99791077,23.6885759,9.76815232,6.920751297,2.961224949,0.942750197,7151.255364,9766121.698,9166441,5.194396942
1973,1,Alabama,35.69305246,23.57967009,9.701025112,6.72344738,2.717618094,0.814402908,7770.273499,10843194.16,10452343,4.890220544
1974,1,Alabama,35.56464511,23.29465125,9.306105964,6.346836665,2.660037617,0.820456748,8363.17131,11921400.93,11533976,4.404174283
1975,1,Alabama,36.19817995,23.71930943,9.635754207,6.728081759,2.798038389,0.816629009,8794.385135,12815733.39,12274803,4.035795393
1976,1,Alabama,35.5899846,23.22034138,9.28434279,6.381331763,2.58218506,0.764362924,9835.56292,14648598.83,14236700,3.815919019
1977,1,Alabama,35.38758384,23.02891359,9.387108942,6.50386053,2.695315824,0.841076591,10561.55694,16086439.65,15273002,3.582933864
1978,1,Alabama,34.58293684,22.62690669,8.799307908,6.047828844,2.346976711,0.584136169,11632.47192,18130352.44,17351764,3.330150187
1979,1,Alabama,35.60157445,23.41867771,9.593784813,6.602554017,2.836067901,0.843781842,12530.66561,20313502.74,19189392,3.039053142
1980,1,Alabama,36.5605518,23.36794311,9.887640023,6.892634682,3.05865453,0.976162153,13604.67032,22089506.96,21478922,2.735386935
1981,1,Alabama,36.33549967,22.83164885,9.591582883,6.680599292,2.940220971,0.883368565,14451.70655,24149152.1,22902334,2.49761264
1982,1,Alabama,35.27247376,23.87637709,10.83257574,7.992172192,4.189995318,1.739699503,14852.58617,25239469.39,23194691,2.355472083
1983,1,Alabama,35.44212479,24.89711886,12.34214873,8.657674131,4.635098004,1.890073337,15637.98156,27160452.54,,2.259049249
1984,1,Alabama,36.45943309,25.20945544,11.97610965,8.617931317,4.589488587,1.885670906,16847.21587,29763137.87,,2.170210234
1985,1,Alabama,37.99433096,25.91740752,11.88852917,8.755550754,4.520573592,1.694540885,17907.47413,32188299.6,,2.098175495
1986,1,Alabama,41.17737158,29.2879181,15.10573517,11.75243228,6.600440833,2.802827265,19536.44023,35745304.54,32055360,2.060863542
1987,1,Alabama,38.39426034,25.86506399,11.52116967,8.346330899,4.040221364,1.426048198,19283.85295,35892994.52,35491432,1.993507337
1988,1,Alabama,39.68756317,27.70198976,13.59537649,10.27317129,5.359426795,2.026994496,21007.32347,39697759.74,38631351,1.922940705
1989,1,Alabama,39.58312265,27.31942294,12.88843166,9.552135366,4.808952362,1.772733798,21698.09015,41918700.38,40953728,1.843412935
1990,1,Alabama,39.33738454,26.59531619,12.42969785,9.363069669,4.76313407,1.788985778,22806.76167,43907959.58,43145901,1.755897371
1991,1,Alabama,39.2262388,26.4212157,12.23998894,9.034584153,4.502521062,1.650205964,23751.54573,45541083.15,45108672,1.695113016
1992,1,Alabama,40.5779112,27.92348449,13.40942799,10.10759042,5.286238284,2.069978795,24515.81876,47954581,47859009,1.653198666
1993,1,Alabama,40.53054446,27.89772919,12.99614925,9.655286061,4.916218643,1.86881998,24651.46234,49362575.05,49377846,1.613307097
1994,1,Alabama,41.35803804,28.68945618,13.72150608,10.29318008,5.401059187,2.134005069,25619.13951,51973148.03,52308531,1.579589639
1995,1,Alabama,41.84230247,29.52380019,14.44325135,10.90387564,5.767853114,2.243976143,27595.89509,55480939.97,55940989,1.542447558
1996,1,Alabama,42.56853897,30.14299948,14.9043544,11.26387482,5.987061072,2.341277127,28744.91126,58645001.45,58948033,1.502453239
1997,1,Alabama,42.5368212,30.30094234,15.28783407,11.62077438,5.927214122,2.14642259,30993.71015,63330703.2,62841632,1.470675463
1998,1,Alabama,42.77957739,30.73867381,15.78498252,12.03809657,6.410664069,2.475918607,32576.30522,68159981.63,66477023,1.450428367
1999,1,Alabama,42.78304449,30.88819358,15.85424497,12.10093152,6.523253869,2.50974176,34660.16659,72634486.32,70232698,1.420791498
2000,1,Alabama,41.83876604,30.22432827,15.48092473,11.82289722,6.396417747,2.503928952,36146.50524,75766206.18,72590665,1.37472392
2001,1,Alabama,40.86258812,28.91382397,14.07319594,10.47772576,5.335097601,1.963808007,35315.40245,75203708.07,72103862,1.337183383
2002,1,Alabama,41.43869748,29.22931209,14.15542597,10.69461898,5.70862453,2.2637168,34862.74509,74497738.06,72426176,1.315926115
2003,1,Alabama,42.14269288,29.87848553,14.63429549,11.12903877,6.039026205,2.464621926,35292.52073,77175134.46,74842665,1.287181338
2004,1,Alabama,42.55629586,31.22077189,16.12270866,12.5678848,7.178376232,3.059821369,39159.20366,85614226.69,80884836,1.253308145
2005,1,Alabama,44.78777748,33.43920231,18.45955776,14.73556152,8.782420236,3.892202218,41366.83206,93275608.29,88628735,1.212653225
2006,1,Alabama,47.70810171,35.78420386,20.42599973,16.49395733,10.03165972,4.572046751,41856.04934,98927934.12,96623613,1.174156297
2007,1,Alabama,46.94555746,34.32251291,19.95814147,16.09114199,9.783755027,4.51565312,44603.40273,105424100.9,102787248,1.141765778
2008,1,Alabama,45.92728729,32.60817162,17.87505768,14.11632645,8.318937493,3.774295525,42918.07254,100258334.2,99243507,1.099548079
2009,1,Alabama,44.27256812,31.37473717,15.32449996,11.709776,6.522879228,2.847014994,39981.91021,93617202.95,95601574,1.103473993
2010,1,Alabama,45.60380582,31.62874285,16.65969313,13.0115212,7.758312777,3.944233817,40891.49405,98908304.92,98932089,1.085666067
2011,1,Alabama,45.70764459,31.69747192,16.06638256,12.49428397,7.169464248,3.33024711,41176.66338,99687682.92,100317597,1.05244533
2012,1,Alabama,45.2862275,31.89611073,16.65693105,12.90657955,7.156009657,2.98939942,43810.7369,106955840,104270067,1.031107085
1917,2,Alaska,11.529033,7.183598007,2.878634947,2.036288373,0.961988147,0.358517284,3183.394991,82464.1879,10549.506,16.9433874
1918,2,Alaska,7.673951512,4.711515141,1.327409905,1.009655833,0.497044731,0.143927523,4395.333733,114019.659,15434.987,14.42629881
1919,2,Alaska,7.478085901,4.238947398,1.077434192,0.800513762,0.360997828,0.085697982,4877.56949,128378.5539,18862.034,12.56034896
1920,2,Alaska,8.121933775,4.367706685,1.2409586,0.860488394,0.336304789,0.080151574,4374.682357,117507.5825,19400.775,10.84376794
1921,2,Alaska,13.9931509,8.521101682,2.121594176,1.435747939,0.553922457,0.12929788,2185.573033,60037.97762,10006.55359,12.1385462
1922,2,Alaska,13.05387432,7.801146535,2.087936232,1.528803911,0.644256851,0.160689537,2384.830081,66624.0974,11098.10909,12.96067881
1923,2,Alaska,12.60132092,7.122573554,1.975936789,1.337697961,0.5240259,0.130007496,2754.988744,78521.21384,13194.45849,12.73240854
1924,2,Alaska,13.29799255,7.476472557,2.37690061,1.584177113,0.571032656,0.178349473,2791.696175,81333.03048,13719.35072,12.70754055
1925,2,Alaska,15.75636234,9.795522929,3.164825813,2.153719373,0.784337718,0.2256206,2341.78198,69442.17818,9135.885861,12.39287764
1926,2,Alaska,18.13624377,12.15379628,4.593409281,3.098639268,1.098782953,0.311569612,1696.215973,51113.31469,6537.378229,12.2759637
1927,2,Alaska,18.39115548,12.44112412,4.758003916,3.134138193,1.061177245,0.293514758,1698.309957,52020.99969,6685.736201,12.51203993
1928,2,Alaska,18.72426612,12.55160766,5.334199539,3.530289059,1.275867638,0.321434793,1733.290799,53879.44569,7282.851687,12.68276952
1929,2,Alaska,10.41784632,7.263632483,2.999122393,1.957196063,0.689731459,0.169902475,3301.352482,103932.6394,7617.019668,12.68276952
1930,2,Alaska,12.25384398,7.983658556,3.074474286,2.006472207,0.687607996,0.187094064,2784.115934,88785.94416,7132.606444,13.01252152
1931,2,Alaska,13.49991248,8.861559216,3.13391781,2.064957368,0.706733006,0.207383402,2315.54005,74910.60311,5718.490549,14.26811571
1932,2,Alaska,14.63592878,9.536494582,3.102624356,1.973927514,0.730163407,0.174262817,1731.924917,56764.76577,5127.351684,15.90772802
