Jurisdiction of Compiled,Type,Region,Year,StateYear,Prison Population,Incarceration Rate,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,State Politics,"Offending rate, 14-17","Offending rate, 14-24",Unemployment Rate,Poverty Rate,Abortion rate,State Governor,FIPS,Jurisdiction of state_short_new,Private Prison Share,Abortion Leagal,Red_Blue,State,Median_income,per_white_alone,per_black,Conservative,Moderate,Liberal,VeryReligious,Per_noHS,Per_poverty,REGION,DIVISION,POPESTIMATE2013
Alabama,Overall,3,1978,Alabama1978,5625,144,3742000,15682,499,954,3708,10521,131707,46001,74387,11319,419.1,13.3,25.5,99.1,281.2,3519.7,1229.3,1987.9,302.5,Democrat,15,28.3,0.064,,19.3,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1979,Alabama1979,5464,141,3769000,15578,496,1037,4127,9918,144372,48517,83791,12064,413.3,13.2,27.5,109.5,263.1,3830.5,1287.3,2223.2,320.1,Democrat,17,17.1,0.072,,20.7,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1980,Alabama1980,6543,163,3861466,17320,509,1158,5102,10551,173191,58952,102029,12210,448.5,13.2,30,132.1,273.2,4485.1,1526.7,2642.2,316.2,Democrat,9,7.8,0.089,0.212,22.8,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1981,Alabama1981,7657,184,3916000,18423,465,1021,4952,11985,173411,56811,105471,11129,470.5,11.9,26.1,126.5,306.1,4428.3,1450.7,2693.3,284.2,Democrat,10.7,28.7,0.106,0.241,22.1,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1982,Alabama1982,9233,219,3943000,17653,417,1026,4417,11793,165048,49531,104740,10777,447.7,10.6,26,112,299.1,4185.8,1256.2,2656.4,273.3,Democrat,36.1,37,0.141,0.216,22.1,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1983,Alabama1983,9856,245,3959000,16471,364,931,3895,11281,145890,42485,94279,9126,416,9.2,23.5,98.4,284.9,3685,1073.1,2381.4,230.5,Democrat,6.2,23.6,0.138,0.23,,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1984,Alabama1984,10482,259,3990000,17204,374,1002,3833,11995,138487,39970,89198,9319,431.2,9.4,25.1,96.1,300.6,3470.9,1001.8,2235.5,233.6,Democrat,17.1,22.2,0.11,0.191,20.3,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1985,Alabama1985,11015,271,4021000,18398,396,1079,4237,12686,140115,41612,88108,10395,457.5,9.8,26.8,105.4,315.5,3484.6,1034.9,2191.2,258.5,Democrat,3.3,17.8,0.092,0.206,20.5,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1986,Alabama1986,11710,288,4053000,22616,409,1150,4523,16534,151191,46974,93396,10821,558,10.1,28.4,111.6,407.9,3730.3,1159,2304.4,267,Democrat,6.2,11.5,0.097,0.238,,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1987,Alabama1987,12827,314,4083000,22833,380,1137,4581,16735,158918,48927,99260,10731,559.2,9.3,27.8,112.2,409.9,3892.2,1198.3,2431.1,262.8,Democrat,7.8,17.9,0.081,0.213,21.8,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1988,Alabama1988,12610,307,4127000,23052,408,1228,4860,16556,165209,50920,103282,11007,558.6,9.9,29.8,117.8,401.2,4003.1,1233.8,2502.6,266.7,Democrat,14.3,13.8,0.072,0.193,20.7,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1989,Alabama1989,13907,337,4118000,24329,421,1276,5515,17117,166244,47224,106771,12249,590.8,10.2,31,133.9,415.7,4037,1146.8,2592.8,297.5,Democrat,8.4,12.7,0.07,0.189,,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1990,Alabama1990,15665,379,4040587,28630,467,1319,5805,21039,169974,44585,111336,14053,708.6,11.6,32.6,143.7,520.7,4206.7,1103.4,2755.4,347.8,Democrat,7.7,24.3,0.068,0.192,,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1991,Alabama1991,16760,400,4089000,34518,469,1455,6246,26348,184882,51873,118151,14858,844.2,11.5,35.6,152.8,644.4,4521.4,1268.6,2889.5,363.4,Democrat,6.3,18.7,0.073,0.188,18.6,,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1992,Alabama1992,17453,408,4136000,36052,455,1704,6819,27074,181837,49053,117801,14983,871.7,11,41.2,164.9,654.6,4396.4,1186,2848.2,362.3,Democrat,12.9,15.5,0.076,0.173,18.4,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1993,Alabama1993,18624,431,4187000,32676,484,1471,6677,24044,171598,45578,111878,14142,780.4,11.6,35.1,159.5,574.3,4098.4,1088.6,2672,337.8,Democrat,19.9,17.6,0.073,0.174,,D,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1994,Alabama1994,19573,448,4219000,28844,501,1487,7223,19633,178015,44064,119951,14000,683.7,11.9,35.2,171.2,465.3,4219.4,1044.4,2843.1,331.8,Democrat,28.8,15.4,0.062,0.164,,D,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1995,Alabama1995,20718,468,4253000,26894,475,1350,7900,17169,179294,43586,120967,14741,632.4,11.2,31.7,185.8,403.7,4215.7,1024.8,2844.3,346.6,Democrat,10.1,24.9,0.06,0.201,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1996,Alabama1996,21760,487,4273000,24159,444,1397,7124,15194,181803,42821,123350,15632,565.4,10,33,167,356,4254.7,1002.1,2886.7,366,Democrat,6.4,26.8,0.052,0.14,15.3,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1997,Alabama1997,22290,496,4319000,24379,426,1396,6931,15626,186809,43786,127616,15407,564.5,9.9,32.3,160.5,361.8,4325.3,1013.8,2954.8,356.7,Democrat,18.1,25.7,0.05,0.157,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1998,Alabama1998,22676,504,4352000,22286,354,1443,5698,14791,177779,41965,120943,14871,512.1,8.1,33.2,130.9,339.9,4085,964.3,2779,341.7,Democrat,20.6,13.8,0.044,0.145,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,1999,Alabama1999,24658,544,4369862,21421,345,1513,5297,14266,171398,38648,119616,13134,490.2,7.9,34.6,121.2,326.5,3922.3,884.4,2737.3,300.6,Democrat,,,0.047,0.152,13.8,D,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2000,Alabama2000,26406,585,4447100,21620,329,1482,5702,14107,180539,40331,127399,12809,486.2,7.4,33.3,128.2,317.2,4059.7,906.9,2864.8,288,Democrat,,,0.046,0.133,13.4,D,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2001,Alabama2001,26741,586,4468912,19582,379,1369,5584,12250,173253,40642,119992,12619,438.2,8.5,30.6,125,274.1,3876.8,909.4,2685,282.4,Democrat,,,0.051,0.159,,D,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2002,Alabama2002,27947,616,4478896,19931,303,1664,5962,12002,180400,42578,123932,13890,445,6.8,37.2,133.1,268,4027.8,950.6,2767,310.1,Democrat,,,0.059,0.145,,D,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2003,Alabama2003,27913,607,4503726,19331,299,1656,6038,11338,182241,43245,124039,14957,429.2,6.6,36.8,134.1,251.7,4046.4,960.2,2754.1,332.1,Democrat,,,0.06,0.15,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2004,Alabama2004,25887,560,4525375,19324,254,1742,6042,11286,182340,44666,123650,14024,427,5.6,38.5,133.5,249.4,4029.3,987,2732.4,309.9,Democrat,,,0.057,0.169,11.8,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2005,Alabama2005,27888,594,4548327,19678,374,1564,6447,11293,177393,43473,120780,13140,433,8.2,34.4,141.7,248.3,3900,955.8,2656,289,Democrat,,,0.045,0.167,11.5,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2006,Alabama2006,28241,599,4599030,19553,382,1646,7062,10463,181249,44780,121451,15018,425.2,8.3,35.8,153.6,227.5,3941,973.7,2640.8,326.5,Democrat,,,0.04,0.143,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2007,Alabama2007,29412,617,4627851,20775,412,1548,7398,11417,184082,45379,124465,14238,448.9,8.9,33.4,159.9,246.7,3977.7,980.6,2689.5,307.7,Democrat,,,0.04,0.145,11.8,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2008,Alabama2008,30508,635,4661900,21110,351,1618,7346,11795,190416,50411,126539,13466,452.8,7.5,34.7,157.6,253,4084.5,1081.3,2714.3,288.9,Democrat,,,0.057,0.143,11.5,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2009,Alabama2009,31874,652,4708708,21194,322,1504,6265,13103,178007,48844,118072,11091,450.1,6.8,31.9,133.1,278.3,3780.4,1037.3,2507.5,235.5,Democrat,,,0.11,0.166,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2010,Alabama2010,31764,642,4785401,18363,275,1355,4864,11869,168828,42484,115564,10780,383.7,5.7,28.3,101.6,248,3528,887.8,2414.9,225.3,Democrat,,,0.105,0.172,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2011,Alabama2011,32270,650,4803689,20166,299,1370,4906,13591,173192,51119,111411,10662,419.8,6.2,28.5,102.1,282.9,3605.4,1064.2,2319.3,222,Democrat,,,0.097,0.154,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2012,Alabama2012,32431,650,4822023,21693,342,1296,5020,15035,168878,47481,111523,9874,449.9,7.1,26.9,104.1,311.8,3502.2,984.7,2312.8,204.8,Democrat,,,0.08,0.162,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alabama,Overall,3,2013,Alabama2013,32381,647,,,,,,,,,,,,,,,,,,,,,,,0.072,0.167,,R,1,Alabama,Middle Private Prison,0,Red,AL,42934,0.68,0.26,50.6,32,14.6,55.7,18.09,13.44,3,6,4833722
Alaska,Overall,4,1978,Alaska1978,712,122,403000,1781,52,224,368,1137,22585,5397,14522,2666,441.9,12.9,55.6,91.3,282.1,5604.2,1339.2,3603.5,661.5,Split,11.1,19.9,0.106,,27.5,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1979,Alaska1979,760,132,406000,1994,54,292,445,1203,23193,5616,15076,2501,491.1,13.3,71.9,109.6,296.3,5712.6,1383.3,3713.3,616,Split,11.6,18,0.093,,23.6,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1980,Alaska1980,822,141,440142,1919,39,250,360,1270,22930,5545,14916,2469,436,8.9,56.8,81.8,288.5,5209.7,1259.8,3388.9,561,Split,7.7,20.4,0.096,0.096,22.1,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1981,Alaska1981,1024,170,412000,2537,60,421,472,1584,24634,5479,16310,2845,615.8,14.6,102.2,114.6,384.5,5979.1,1329.9,3958.7,690.5,Split,7.8,16.9,0.094,0.09,20.9,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1982,Alaska1982,1322,194,438000,2732,81,374,586,1691,24479,5204,16672,2603,623.7,18.5,85.4,133.8,386.1,5588.8,1188.1,3806.4,594.3,Split,6.4,16.1,0.099,0.106,20.7,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1983,Alaska1983,1631,219,479000,2940,66,486,465,1923,25889,5720,17085,3084,613.8,13.8,101.5,97.1,401.5,5404.8,1194.2,3566.8,643.8,Split,7.9,13,0.099,0.126,,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1984,Alaska1984,1967,252,500000,3108,58,458,547,2045,27468,6184,18140,3144,621.6,11.6,91.6,109.4,409,5493.6,1236.8,3628,628.8,Split,8.4,13.5,0.098,0.096,29.3,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1985,Alaska1985,2329,287,521000,3031,51,402,484,2094,27588,6209,18220,3159,581.8,9.8,77.2,92.9,401.9,5295.2,1191.7,3497.1,606.3,Split,10.4,17,0.097,0.087,30.4,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1986,Alaska1986,2460,306,534000,3046,46,388,470,2142,30307,6204,20879,3224,570.4,8.6,72.7,88,401.1,5675.5,1161.8,3909.9,603.7,Split,11.2,17.1,0.109,0.114,,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1987,Alaska1987,2528,328,525000,2391,53,341,384,1613,25841,5093,18195,2553,455.4,10.1,65,73.1,307.2,4922.1,970.1,3465.7,486.3,Split,5.5,11.7,0.103,0.12,21.5,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1988,Alaska1988,2588,344,513000,2682,29,296,374,1983,22566,4321,15911,2334,522.8,5.7,57.7,72.9,386.5,4398.8,842.3,3101.6,455,Split,9.7,20,0.088,0.11,20.6,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1989,Alaska1989,2744,349,527000,2623,42,279,356,1946,22567,4358,15811,2398,497.7,8,52.9,67.6,369.3,4282.2,826.9,3000.2,455,Split,16.2,26,0.07,0.105,,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1990,Alaska1990,2622,335,550043,2885,41,401,422,2021,25457,4919,17428,3110,524.5,7.5,72.9,76.7,367.4,4628.2,894.3,3168.5,565.4,Split,16.2,27.8,0.072,0.114,,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1991,Alaska1991,2706,323,570000,3499,42,523,645,2289,29000,5582,20375,3043,613.9,7.4,91.8,113.2,401.6,5087.7,979.3,3574.6,533.9,Split,26.8,39.2,0.085,0.118,19.7,,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1992,Alaska1992,2865,330,587000,3877,44,579,640,2614,28816,5170,20728,2918,660.5,7.5,98.6,109,445.3,4909,880.7,3531.2,497.1,Split,14.4,25.8,0.089,0.102,19.5,O,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1993,Alaska1993,2703,451,599000,4557,54,502,733,3268,28795,4893,21201,2701,760.8,9,83.8,122.4,545.6,4807.2,816.9,3539.4,450.9,Split,16.8,27.9,0.077,0.091,,O,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1994,Alaska1994,3292,321,606000,4644,38,418,886,3302,29947,4848,21824,3275,766.3,6.3,69,146.2,544.9,4941.7,800,3601.3,540.4,Republican,16.5,31.9,0.076,0.102,,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1995,Alaska1995,3522,338,604000,4656,55,485,937,3179,30097,5055,21891,3151,770.9,9.1,80.3,155.1,526.3,4982.9,836.9,3624.3,521.7,Republican,9.6,31.8,0.073,0.071,,D,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1996,Alaska1996,3716,384,607000,4417,45,398,710,3264,28667,5118,20557,2992,727.7,7.4,65.6,117,537.7,4722.7,843.2,3386.7,492.9,Republican,13.8,28,0.076,0.082,16,D,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1997,Alaska1997,4165,419,609000,4270,54,403,648,3165,27840,4276,20780,2784,701.1,8.9,66.2,106.4,519.7,4571.4,702.1,3412.2,457.1,Republican,14.4,26.9,0.071,0.088,,D,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1998,Alaska1998,4097,410,614000,4015,41,421,532,3021,25316,4098,18611,2607,653.9,6.7,68.6,86.6,492,4123.1,667.4,3031.1,424.6,Republican,7.9,20.9,0.063,0.094,,D,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,1999,Alaska1999,3949,372,619500,3908,52,517,566,2773,23099,3787,16654,2658,630.8,8.4,83.5,91.4,447.6,3728.7,611.3,2688.3,429.1,Republican,,,0.065,0.076,15.3,D,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2000,Alaska2000,4173,339,626932,3554,27,497,490,2540,23087,3899,16838,2350,566.9,4.3,79.3,78.2,405.1,3682.5,621.9,2685.8,374.8,Republican,,,0.064,0.076,13.5,D,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2001,Alaska2001,4571,347,633630,3735,39,501,514,2681,23160,3847,16695,2618,589.5,6.2,79.1,81.1,423.1,3655.1,607.1,2634.8,413.2,Republican,,,0.064,0.085,,D,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2002,Alaska2002,4398,401,641482,3627,33,511,489,2594,24118,3908,17739,2471,565.4,5.1,79.7,76.2,404.4,3759.7,609.2,2765.3,385.2,Republican,,,0.073,0.088,,D,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2003,Alaska2003,4527,404,648280,3877,39,605,446,2787,24386,3874,18051,2461,598,6,93.3,68.8,429.9,3761.6,597.6,2784.4,379.6,Republican,,,0.078,0.096,,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2004,Alaska2004,4554,398,657755,4159,37,558,447,3117,22172,3773,16159,2240,632.3,5.6,84.8,68,473.9,3370.9,573.6,2456.7,340.6,Republican,,,0.075,0.091,15.7,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2005,Alaska2005,4812,415,663253,4194,32,538,537,3087,23975,4131,17249,2595,632,4.8,81.1,81,465.4,3615,622.8,2601,391,Republican,,,0.069,0.1,14.9,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2006,Alaska2006,5069,460,670053,4610,36,512,600,3462,23975,4155,17284,2536,688,5.4,76.4,89.5,516.7,3578.1,620.1,2579.5,378.5,Republican,,,0.066,0.089,,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2007,Alaska2007,5167,450,683478,4520,43,545,581,3351,23096,3734,16929,2433,661.3,6.3,79.7,85,490.3,3379.2,546.3,2476.9,356,Republican,,,0.063,0.076,14,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2008,Alaska2008,5014,431,686293,4475,27,447,645,3356,20090,3237,15225,1628,652.1,3.9,65.1,94,489,2927.3,471.7,2218.4,237.2,Republican,,,0.067,0.082,13.9,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2009,Alaska2009,5285,359,698473,4424,22,513,654,3235,20538,3600,15251,1687,633.4,3.1,73.4,93.6,463.2,2940.4,515.4,2183.5,241.5,Republican,,,0.077,0.117,,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2010,Alaska2010,5391,389,714146,4537,31,533,594,3379,20259,3105,15535,1619,635.3,4.3,74.6,83.2,473.2,2836.8,434.8,2175.3,226.7,Republican,,,0.079,0.125,,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2011,Alaska2011,5597,399,723860,4416,30,436,576,3374,19094,2852,14854,1388,610.1,4.1,60.2,79.6,466.1,2637.8,394,2052.1,191.7,Republican,,,0.076,0.117,,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2012,Alaska2012,5633,405,731449,4412,30,583,630,3169,20037,2950,15565,1522,603.2,4.1,79.7,86.1,433.2,2739.4,403.3,2128,208.1,Republican,,,0.071,0.099834894,,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Alaska,Overall,4,2013,Alaska2013,5081,364,,,,,,,,,,,,,,,,,,,,,,,0.069,0.109,,R,2,Alaska,Middle Private Prison,1,Red,AK,69014,0.64,0.03,37.4,42.7,16.1,31.3,8.64,6.45,4,9,735132
Arizona,Overall,4,1978,Arizona1978,3456,137,2354000,12996,221,1040,3835,7900,165998,49023,106042,10933,552.1,9.4,44.2,162.9,335.6,7051.7,2082.5,4504.8,464.4,Republican,17.5,21.9,0.06,,23.3,,4,Arizona,High Private Prison,0,Red,AZ,50752,0.59,0.04,39.4,37.3,19.9,36.6,14.82,11.74,4,8,6626624
Arizona,Overall,4,1979,Arizona1979,3749,142,2450000,14528,219,1120,4305,8884,177977,48916,116976,12085,593,8.9,45.7,175.7,362.6,7264.4,1996.6,4774.5,493.3,Republican,7.5,18.5,0.051,,24.4,,4,Arizona,High Private Prison,0,Red,AZ,50752,0.59,0.04,39.4,37.3,19.9,36.6,14.82,11.74,4,8,6626624
Arizona,Overall,4,1980,Arizona1980,4372,159,2715357,17673,279,1227,5258,10909,204193,58527,132814,12852,650.9,10.3,45.2,193.6,401.8,7519.9,2155.4,4891.2,473.3,Republican,14,21.8,0.066,0.128,25.2,,4,Arizona,High Private Prison,0,Red,AZ,50752,0.59,0.04,39.4,37.3,19.9,36.6,14.82,11.74,4,8,6626624
Arizona,Overall,4,1981,Arizona1981,5223,185,2793000,16082,227,1064,4961,9830,196575,57655,127469,11451,575.8,8.1,38.1,177.6,352,7038.1,2064.3,4563.9,410,Republican,6.8,12.5,0.062,0.117,25,,4,Arizona,High Private Prison,0,Red,AZ,50752,0.59,0.04,39.4,37.3,19.9,36.6,14.82,11.74,4,8,6626624
Arizona,Overall,4,1982,Arizona1982,6069,209,2860000,14785,236,1100,4537,8912,189161,53861,124723,10577,517,8.3,38.5,158.6,311.6,6614,1883.3,4360.9,369.8,Republican,9.5,17.4,0.101,0.148,23.5,,4,Arizona,High Private Prison,0,Red,AZ,50752,0.59,0.04,39.4,37.3,19.9,36.6,14.82,11.74,4,8,6626624
